n,regime,epsilon,minimax,legacy_converse,continuous_converse,absolute_improvement,legacy_selected_branch,legacy_selected_order,continuous_selected_branch,continuous_selected_order,legacy_reverse,continuous_reverse,reverse_absolute_improvement,legacy_reverse_order,continuous_reverse_order,continuous_reverse_a,continuous_reverse_objective,continuous_reverse_endpoint,continuous_reverse_adjacent_mesh_best,legacy_forward,continuous_forward,forward_absolute_improvement,legacy_forward_order,continuous_forward_order,continuous_forward_a,continuous_forward_log_bound,continuous_forward_endpoint,continuous_forward_adjacent_mesh_best,minimax_minus_continuous_converse
1,constant,0.01,0.987766202,0.987766202,0.987766202,0.0,reverse,inf,reverse,inf,0.987766202,0.987766202,0.0,inf,inf,1.0,4.403552829659857,order_infinity,0.987766202,0.9490092592151418,0.9490107177365261,1.4585213843343325e-06,1.8181818181818181,1.808946272311107,0.44719198391536435,-0.05233518671993834,finite,0.9490092592151418,0.0
1,linear,1.0,0.0,0.0,0.0,0.0,reverse,1.000010000100001,reverse,1.000010000100001,0.0,0.0,0.0,1.000010000100001,1.000010000100001,9.999999999961955e-06,0.0,finite,0.0,0.0,0.0,0.0,1.000010000100001,1.000010000100001,9.999999999961955e-06,-inf,finite,0.0,0.0
2,constant,0.01,0.9850334186495197,0.9850334186495195,0.9850334186495195,0.0,reverse,inf,reverse,inf,0.9850334186495195,0.9850334186495195,0.0,inf,inf,1.0,4.201935473331622,order_infinity,0.9850334186495195,0.9231352681485233,0.9231357127351353,4.445866119695552e-07,1.5625000000000002,1.5654740342384763,0.3612158501968068,-0.0799790209051852,finite,0.9231352681485233,1.1102230246251565e-16
2,linear,0.5,0.396994783288868,0.3755277664940007,0.37554920470332637,2.1438209325652657e-05,forward,10.000000000000002,forward,9.567030416702943,0.34224100925109924,0.34224351778627277,2.508535173528781e-06,4.76190476190476,4.734342011858868,0.7887774061326497,0.4189205039773018,finite,0.34224100925109924,0.3755277664940007,0.37554920470332637,2.1438209325652657e-05,10.000000000000002,9.567030416702943,0.8954743576173737,-0.97936577853755,finite,0.3755277664940007,0.021445578585541636
3,constant,0.01,0.9816901867007649,0.9816901867007656,0.9816901867007656,0.0,reverse,inf,reverse,inf,0.9816901867007656,0.9816901867007656,0.0,inf,inf,1.0,4.000318117003387,order_infinity,0.9816901867007656,0.9001925578637914,0.9002023929171241,9.835053332740706e-06,1.4492753623188408,1.4595321189860224,0.31484892521945473,-0.10513565992074568,finite,0.9001925578637914,-6.661338147750939e-16
3,linear,0.3333333333333333,0.5400037668641167,0.49084244975373026,0.4908718428827162,2.9393128985921724e-05,reverse,4.999999999999998,reverse,4.908027829832599,0.49084244975373026,0.4908718428827162,2.9393128985921724e-05,4.999999999999998,4.908027829832599,0.796252174056212,0.6750555119676579,finite,0.49084244975373026,0.4882594917750735,0.4882595608233297,6.904825622378041e-08,4.545454545454546,4.540841411183843,0.7797764974709191,-0.7169081275976543,finite,0.4882594917750735,0.04913192398140048
4,constant,0.01,0.9776001442679447,0.9776001442679452,0.9776001442679452,0.0,reverse,inf,reverse,inf,0.9776001442679452,0.9776001442679452,0.0,inf,inf,1.0,3.798700760675152,order_infinity,0.9776001442679452,0.8789592366880301,0.8789683127703494,9.076082319259271e-06,1.3888888888888888,1.3968890068455828,0.28412350938449077,-0.1290064311272373,finite,0.8789592366880301,-4.440892098500626e-16
4,linear,0.25,0.6253542760004445,0.5673531100889875,0.5673564101058227,3.3000168352392834e-06,reverse,4.76190476190476,reverse,4.734342011858868,0.5673531100889875,0.5673564101058227,3.3000168352392834e-06,4.76190476190476,4.734342011858868,0.7887774061326497,0.8378410079546036,finite,0.5673531100889875,0.5398023364073488,0.5398182466065254,1.5910199176683015e-05,3.333333333333333,3.373323276167157,0.7035564284439938,-0.6165227764379853,finite,0.5398023364073488,0.05799786589462175
5,constant,0.01,0.9733479544584683,0.9728320950659215,0.9728321799756722,8.490975067498852e-08,reverse,58.34600886166606,reverse,57.48423811504208,0.9728320950659215,0.9728321799756722,8.490975067498852e-08,58.34600886166606,57.48423811504208,0.9826039270452064,3.605722093421381,finite,0.9728320950659216,0.8589385325338,0.8589402634062288,1.7308724287179444e-06,1.3513513513513513,1.3543477500711911,0.2616371977230847,-0.15205590143439993,finite,0.8589385325338,0.0005157744827961608
5,linear,0.2,0.6632255709470057,0.6134710143834408,0.613475249446299,4.235062858293226e-06,reverse,4.545454545454546,reverse,4.517323414840833,0.6134710143834408,0.613475249446299,4.235062858293226e-06,4.545454545454546,4.517323414840833,0.7786299743970767,0.950559375349871,finite,0.6134710143834408,0.5662923686648017,0.5663033317713071,1.0963106505390563e-05,2.7777777777777777,2.8014906095220606,0.6430471704595141,-0.5686254224763526,finite,0.5662923686648017,0.049750321500706685
6,constant,0.01,0.9707473689674382,0.9674618393024703,0.9674724301475325,1.05908450621639e-05,reverse,34.91221794698342,reverse,38.52042880198526,0.9674618393024703,0.9674724301475325,1.05908450621639e-05,34.91221794698342,38.52042880198526,0.9740397490084933,3.4256672460993625,finite,0.9674618393024703,0.8398449235500067,0.839858248054601,1.3324504594236508e-05,1.3157894736842106,1.3230500999740415,0.244170723376522,-0.1745221537010031,finite,0.8398449235500067,0.003274938819905704
6,linear,0.16666666666666666,0.6967437017886704,0.6439552495304851,0.6439630022413747,7.752710889596948e-06,reverse,4.347826086956522,reverse,4.313207455062599,0.6439552495304851,0.6439630022413747,7.752710889596948e-06,4.347826086956522,4.313207455062599,0.7681539758014059,1.032720627241796,finite,0.6439552495304851,0.5801970971695264,0.5802064006874013,9.30351787487016e-06,2.4390243902439024,2.456131031667193,0.592855598049583,-0.5443713754918418,finite,0.5801970971695264,0.052780699547295695
7,constant,0.01,0.9670688492567686,0.9627752342004751,0.9627752933928568,5.919238177387598e-08,reverse,8.333333333333334,reverse,8.358945005515205,0.9627752342004751,0.9627752933928568,5.919238177387598e-08,8.333333333333334,8.358945005515205,0.8803676780574339,3.290782582051097,finite,0.9627752342004751,0.8215630771115072,0.8215630792919868,2.180479574676042e-09,1.2987012987012987,1.2987857582844609,0.23005007283042647,-0.19654655894812154,finite,0.8215630771115072,0.00429355586391178
7,linear,0.14285714285714285,0.7186235200858947,0.6653124674159441,0.6653219661923824,9.498776438299217e-06,reverse,4.166666666666667,reverse,4.131517354140529,0.6653124674159441,0.6653219661923824,9.498776438299217e-06,4.166666666666667,4.131517354140529,0.7579581751005309,1.0945863024147784,finite,0.6653124674159441,0.586954535693648,0.5869546093470408,7.365339282916494e-08,2.2222222222222223,2.2234855467657675,0.5502556778682112,-0.5328077886395598,finite,0.586954535693648,0.05330155389351232
