n,regime,epsilon,minimax,renyi_converse,fano_converse
1,constant,0.01,0.987766202,0.987766202,0.77907509633346
2,constant,0.01,0.9850334186495197,0.9850334186495195,0.7752974336185459
3,constant,0.01,0.9816901867007649,0.9816901867007656,0.7715197709036317
4,constant,0.01,0.9776001442679447,0.9776001442679452,0.7677421081887175
5,constant,0.01,0.9733479544584683,0.9728321799756722,0.7639644454738034
6,constant,0.01,0.9707473689674382,0.9674724301475325,0.7601867827588892
7,constant,0.01,0.9670688492567686,0.9627752933928568,0.7564091200439751
8,constant,0.01,0.9650309040837114,0.9587957946612161,0.7526314573290609
9,constant,0.01,0.9614503967420583,0.9548938147937653,0.7488537946141467
10,constant,0.01,0.9594654014016932,0.951012842514602,0.7450761318992325
11,constant,0.01,0.955947259710399,0.9471281722754424,0.7412984691843184
12,constant,0.01,0.9538775628986088,0.9432261499855971,0.7375208064694043
13,constant,0.01,0.9504614934170542,0.9392983354414411,0.7337431437544901
14,constant,0.01,0.9483317821442327,0.9353391739382863,0.7299654810395759
15,constant,0.01,0.9449819332708432,0.9313448753157612,0.7261878183246618
16,constant,0.01,0.942826000530566,0.927312805072322,0.7224101556097478
17,constant,0.01,0.9394972730075942,0.9232411244855614,0.7186324928948336
18,constant,0.01,0.9373297689022958,0.9191285641945746,0.7148548301799194
19,constant,0.01,0.9338678174151743,0.9149742747269767,0.7110771674650053
20,constant,0.01,0.93180053386412,0.9107777239744932,0.7072995047500911
21,constant,0.01,0.9282840867019291,0.9065386246434155,0.703521842035177
22,constant,0.01,0.9261907796519346,0.9022568815659578,0.6997441793202628
23,constant,0.01,0.9225092161141607,0.8979325525842787,0.6959665166053486
24,constant,0.01,0.9204511138474951,0.8935658189558418,0.6921888538904344
25,constant,0.01,0.9168327927070004,0.8891569625898083,0.6884111911755203
26,constant,0.01,0.9146165437503456,0.8847063482808467,0.6846335284606062
27,constant,0.01,0.9111199212137715,0.8802144096620304,0.680855865745692
28,constant,0.01,0.9086663168182687,0.8756816379677264,0.6770782030307778
29,constant,0.01,0.9053452394008317,0.8711085729484984,0.6733005403158637
30,constant,0.01,0.9026219885196797,0.8664957954542498,0.6695228776009496
31,constant,0.01,0.8995842416839874,0.8618439213248882,0.6657452148860354
32,constant,0.01,0.8965571037447803,0.8571535963160791,0.6619675521711212
33,constant,0.01,0.8938753194457124,0.8524254918519631,0.658189889456207
34,constant,0.01,0.8904887215010554,0.84766030144414,0.654412226741293
35,constant,0.01,0.8879488031742924,0.842858737651638,0.6506345640263789
36,constant,0.01,0.8844573277645892,0.8380215294833342,0.6468569013114647
37,constant,0.01,0.8818060802596724,0.8331494201646774,0.6430792385965505
38,constant,0.01,0.8784217539471829,0.828243165206271,0.6393015758816364
39,constant,0.01,0.8755461157412208,0.8233035307240459,0.6355239131667223
40,constant,0.01,0.8723350861743935,0.8183312919703342,0.6317462504518081
41,constant,0.01,0.8692361044581668,0.8133272320426247,0.6279685877368939
42,constant,0.01,0.8662874482320141,0.808292140742818,0.6241909250219797
43,constant,0.01,0.8629373426168558,0.8032268135645426,0.6204132623070656
44,constant,0.01,0.8601266858543986,0.798132050789937,0.6166355995921514
45,constant,0.01,0.8567504305724697,0.7930086566804515,0.6128579368772373
46,constant,0.01,0.8537875578303817,0.7878574387486963,0.6090802741623231
47,constant,0.01,0.8505114644552144,0.7826792071004944,0.6053026114474089
48,constant,0.01,0.8473992328774992,0.7774747738379525,0.6015249487324948
49,constant,0.01,0.8442094252778979,0.7722449525157893,0.5977472860175808
50,constant,0.01,0.8409426263391871,0.7669905576443304,0.5939696233026666
51,constant,0.01,0.8378666178222404,0.7617124042335247,0.5901919605877524
52,constant,0.01,0.8345547330051679,0.7564113073731809,0.5864142978728383
53,constant,0.01,0.8314573221245164,0.751088081845272,0.5826366351579241
54,constant,0.01,0.8281906263773279,0.7457435417647644,0.57885897244301
55,constant,0.01,0.8249921401755389,0.7403785002458634,0.5750813097280958
56,constant,0.01,0.8217488177384866,0.7349937690910382,0.5713036470131816
57,constant,0.01,0.8184437953125752,0.729590158500478,0.5675259842982674
58,constant,0.01,0.8152478325116898,0.7241684767999841,0.5637483215833533
59,constant,0.01,0.8119721563426642,0.7187295301855168,0.5599706588684392
60,constant,0.01,0.8087493494233586,0.7132741224828634,0.556192996153525
61,constant,0.01,0.8054775342055341,0.7078030549210466,0.5524153334386108
62,constant,0.01,0.8021693476153295,0.7023171259183119,0.5486376707236967
63,constant,0.01,0.798876558047349,0.6968171308796058,0.5448600080087826
64,constant,0.01,0.7955868516339603,0.6913038620046482,0.5410823452938684
65,constant,0.01,0.7923510248975766,0.6857781081057128,0.5373046825789543
66,constant,0.01,0.7890425952162786,0.6802406544344684,0.53352701986404
67,constant,0.01,0.7857183733566646,0.6746922825171233,0.529749357149126
68,constant,0.01,0.7824040354343597,0.6691337699973995,0.5259716944342119
