n,regime,epsilon,minimax,achievability,converse,converse_reverse,converse_forward,achievability_lambda,converse_reverse_lambda,converse_forward_lambda,lp_objective,worst_type_i,worst_type_i_s,worst_type_ii,worst_type_ii_t,lp_iterations,active_null_constraints,active_alternative_constraints,achievability_type_i,achievability_worst_s,achievability_worst_t,achievability_eta,achievability_threshold,projection_s,projection_t,projection_D,achievability_minus_minimax,minimax_minus_converse,type_count
1,constant,0.01,0.987766202,0.9877662020000001,0.987766202,0.987766202,0.9490092592151418,0.001,inf,1.8181818181818181,0.987766202,0.010000000000000078,1.0,0.987766202,0.0,1.0,17.0,17.0,0.01,1.0,0.0,0.028571428571428577,0.22897516795960732,1.0,0.44678324054271057,1.697483024924677e-05,1.1102230246251565e-16,0.0,3
1,linear,1.0,0.0,0.0,0.0,0.0,0.0,0.001,1.000010000100001,1.000010000100001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-inf,1.0,0.44678324054271057,1.697483024924677e-05,0.0,0.0,3
2,constant,0.01,0.9850334186495197,0.9850334186495199,0.9850334186495195,0.9850334186495195,0.9231352681485233,0.001,inf,1.5625000000000002,0.9850334186495197,0.010000000000000037,1.0,0.9850334186495197,0.0,1.0,17.0,17.0,0.01,1.0,0.0,0.08163265306122451,0.45795033591921464,1.0,0.44678324054271057,1.697483024924677e-05,2.220446049250313e-16,1.1102230246251565e-16,6
2,linear,0.5,0.396994783288868,0.4103304656444795,0.3755277664940007,0.34224100925109924,0.3755277664940007,0.001,4.76190476190476,10.000000000000002,0.396994783288868,0.5000000000000001,1.0,0.39699478328886806,0.0,1.0,17.0,17.0,0.5,1.0,1.0,0.6645021645021646,0.056765994894680843,1.0,0.44678324054271057,1.697483024924677e-05,0.0133356823556115,0.02146701679486729,6
3,constant,0.01,0.9816901867007649,0.9816901867007657,0.9816901867007656,0.9816901867007656,0.9001925578637914,0.001,inf,1.4492753623188408,0.9816901867007649,0.010000000000000175,1.0,0.981690186700765,0.0,1.0,17.0,17.0,0.01,1.0,0.0,0.23323615160349856,0.686925503878822,1.0,0.44678324054271057,1.697483024924677e-05,7.771561172376096e-16,-6.661338147750939e-16,10
3,linear,0.3333333333333333,0.5400037668641167,0.5476786496654817,0.49084244975373026,0.49084244975373026,0.4882594917750735,0.001,4.999999999999998,4.545454545454546,0.5400037668641167,0.33333333333333337,1.0,0.5400037680628996,0.48269157061228907,8.0,17.0,24.0,0.33333333333333337,1.0,1.0,0.4797557043650797,-0.022816069543601047,1.0,0.44678324054271057,1.697483024924677e-05,0.007674882801365079,0.049161317110386404,10
4,constant,0.01,0.9776001442679447,0.9776001442679454,0.9776001442679452,0.9776001442679452,0.8789592366880301,0.001,inf,1.3888888888888888,0.9776001442679447,0.010000000000000403,1.0,0.9776001442679443,0.0,1.0,17.0,17.0,0.01,1.0,0.0,0.6663890045814248,0.9159006718384293,1.0,0.44678324054271057,1.697483024924677e-05,6.661338147750939e-16,-4.440892098500626e-16,15
4,linear,0.25,0.6253542760004445,0.6642658618922982,0.5673531100889875,0.5673531100889875,0.5398023364073488,0.001,4.76190476190476,3.333333333333333,0.6253542760004445,0.25,1.0,0.625354276874967,0.4825935049248505,9.0,17.0,25.0,0.25,1.0,1.0,0.3108556869717585,0.159845544102684,1.0,0.44678324054271057,1.697483024924677e-05,0.03891158589185373,0.05800116591145699,15
5,constant,0.01,0.9733479544584683,0.9733479544584686,0.9728320950659215,0.9728320950659215,0.8589385325338,0.001,58.34600886166606,1.3513513513513513,0.9733479544584683,0.010000000000000018,1.0,0.9733479544584679,0.0,1.0,17.0,17.0,0.01,1.0,0.0,0.19774312786339046,0.7900050530868251,1.0,0.44678324054271057,1.697483024924677e-05,2.220446049250313e-16,0.0005158593925468358,21
5,linear,0.2,0.6632255709470057,0.6815870971475848,0.6134710143834408,0.6134710143834408,0.5662923686648017,0.001,4.545454545454546,2.7777777777777777,0.6632255709470057,0.20000000000000023,1.0,0.6632255715621062,0.18246761347075635,6.0,17.0,22.0,0.2,1.0,1.0,0.24676127830116804,0.34250715774896906,1.0,0.44678324054271057,1.697483024924677e-05,0.01836152620057907,0.04975455656356498,21
6,constant,0.01,0.9707473689674382,0.9746475486689256,0.9674618393024703,0.9674618393024703,0.8398449235500067,0.001,34.91221794698342,1.3157894736842106,0.9707473689674382,0.010000000000000451,1.0,0.9707473689674379,1.0,1.0,17.0,17.0,0.01,1.0,1.0,0.8093586377699772,1.0189802210464323,1.0,0.44678324054271057,1.697483024924677e-05,0.003900179701487372,0.003285529664967868,28
6,linear,0.16666666666666666,0.6967437017886704,0.7112301787429215,0.6439552495304851,0.6439552495304851,0.5801970971695264,0.001,4.347826086956522,2.4390243902439024,0.6967437017886704,0.16666666666666685,1.0,0.6967437026854767,0.4825797557386409,9.0,17.0,25.0,0.16666666666666666,1.0,1.0,0.24323271454370024,0.2629250933106872,1.0,0.44678324054271057,1.697483024924677e-05,0.014486476954251093,0.05278845225818529,28
7,constant,0.01,0.9670688492567686,0.9690794028014663,0.9627752342004751,0.9627752342004751,0.8215630771115072,0.001,8.333333333333334,1.2987012987012987,0.9670688492567686,0.009999999999999974,1.0,0.9670688510059707,0.29139868794437807,5.0,17.0,21.0,0.009999999999999998,1.0,0.0,0.08787601586605147,0.8930846022948282,1.0,0.44678324054271057,1.697483024924677e-05,0.002010553544697702,0.004293615056293554,36
7,linear,0.14285714285714285,0.7186235200858947,0.7490373545877012,0.6653124674159441,0.6653124674159441,0.586954535693648,0.001,4.166666666666667,2.2222222222222223,0.7186235200858947,0.14285714285714227,1.0,0.7186235220712969,0.48250198759931345,8.0,17.0,24.0,0.14285714285714285,1.0,1.0,0.30586654493850335,0.4455867069569722,1.0,0.44678324054271057,1.697483024924677e-05,0.030413834501806458,0.05331105266995062,36
8,constant,0.01,0.9650309040837114,0.9696426741695359,0.9587934136253012,0.9587934136253012,0.8039447674031163,0.001,7.142857142857142,1.282051282051282,0.9650309040837114,0.009999999999999771,1.0,0.9650309054892867,0.48307797012452275,7.0,17.0,23.0,0.010000000000000002,1.0,1.0,0.106569643107586,1.0757462159411133,1.0,0.44678324054271057,1.697483024924677e-05,0.004611770085824474,0.006237490458410155,45
8,linear,0.125,0.7304513320845086,0.7305610841247977,0.6808632697196935,0.6808632697196935,0.5892682970487714,0.001,4.0,2.0408163265306123,0.7304513320845086,0.12499999999999978,1.0,0.7304513326748109,0.482501611455923,9.0,17.0,25.0,0.125,1.0,0.537783609703183,0.17375140409521045,0.36600464251869025,1.0,0.44678324054271057,1.697483024924677e-05,0.00010975204028906838,0.049588062364815166,45
9,constant,0.01,0.9614503967420583,0.964473703535051,0.954892645941277,0.954892645941277,0.7869315748961426,0.001,6.249999999999999,1.2658227848101264,0.9614503967420583,0.009999999999999627,1.0,0.9614503983631169,0.1815228983560649,5.0,17.0,21.0,0.010000000000000002,1.0,0.0,0.5313235103422544,1.2584078295873984,1.0,0.44678324054271057,1.697483024924677e-05,0.003023306792992675,0.006557750800781359,55
9,linear,0.1111111111111111,0.747800781663298,0.7744666863158435,0.6924802355422102,0.6924802355422102,0.588713367980261,0.001,3.846153846153846,1.923076923076923,0.747800781663298,0.11111111111111108,1.0,0.74780078238229,0.48256213653580504,9.0,17.0,25.0,0.1111111111111111,1.0,1.0,0.49594183062801944,0.5486662561649753,1.0,0.44678324054271057,1.697483024924677e-05,0.02666590465254548,0.05532054612108783,55
10,constant,0.01,0.9594654014016932,0.9624921947935149,0.9510049503399017,0.9510049503399017,0.7704659829664141,0.001,5.882352941176469,1.25,0.9594654014016932,0.009999999999999197,1.0,0.9594654019329545,0.48283664932339176,8.0,17.0,24.0,0.01,1.0,1.0,0.3384217081250136,1.1788257651491165,1.0,0.44678324054271057,1.697483024924677e-05,0.0030267933918216583,0.008460451061791496,66
10,linear,0.1,0.7520390409523334,0.7565010310694393,0.7012990089635186,0.7012990089635186,0.5861609206019669,0.001,3.7037037037037033,1.8181818181818181,0.7520390409523334,0.09999999999999995,1.0,0.7520390419568969,0.40003572307474267,8.0,17.0,24.0,0.1,1.0,0.07770696288207546,0.027285345540719107,0.46908419172669336,1.0,0.44678324054271057,1.697483024924677e-05,0.004461990117105907,0.05074003198881483,66
11,constant,0.01,0.955947259710399,0.9585934025730021,0.9471122468974836,0.9471122468974836,0.7544904299928666,0.001,5.263157894736841,1.2345679012345678,0.955947259710399,0.009999999999999554,1.0,0.9559472604546405,0.32170768058232013,5.0,17.0,21.0,0.01,1.0,0.0,0.7664915652566877,1.3614873787954014,1.0,0.44678324054271057,1.697483024924677e-05,0.002646142862603118,0.008835012812915322,78
11,linear,0.09090909090909091,0.7648039769089541,0.7870493814793507,0.7080475241783764,0.7080475241783764,0.582236178567856,0.001,3.571428571428571,1.7543859649122808,0.7648039769089541,0.09090909090909045,1.0,0.764803977682425,0.48258368882188063,9.0,17.0,25.0,0.09090909090909091,1.0,1.0,0.7662807679679435,0.6517458053729785,1.0,0.44678324054271057,1.697483024924677e-05,0.022245404570396587,0.05675645273057772,78
12,constant,0.01,0.9538775628986088,0.9560884342149151,0.9432198195832088,0.9432198195832088,0.7389580277209935,0.001,4.999999999999998,1.2345679012345678,0.9538775628986088,0.009999999999996585,1.0,0.9538775636343112,0.48243470290256,8.0,17.0,24.0,0.01,1.0,0.9692660551518202,0.6681505006593252,1.2819053143571195,1.0,0.44678324054271057,1.697483024924677e-05,0.002210871316306262,0.010657743315400037,91
12,linear,0.08333333333333333,0.7665700778438078,0.7878895201517887,0.7132131544937361,0.7132131544937361,0.5772839864961781,0.001,3.4482758620689653,1.6949152542372883,0.7665700778438078,0.08333333333333331,1.0,0.7665700783651132,0.3761487157910157,8.0,17.0,24.0,0.08333333333333333,1.0,0.0,0.3487491859269206,0.7417803103926189,1.0,0.44678324054271057,1.697483024924677e-05,0.021319442307980885,0.053356923350071694,91
13,constant,0.01,0.9504614934170542,0.9531024442059921,0.9392951790267846,0.9392951790267846,0.7239100760130119,0.001,4.76190476190476,1.2195121951219512,0.9504614934170542,0.009999999999999457,1.0,0.9504614943023162,0.5283537972620799,6.0,17.0,22.0,0.01,1.0,0.0,0.2648571899604507,1.4182533736900822,1.0,0.44678324054271057,1.697483024924677e-05,0.0026409507889378903,0.011166314390269605,105
