n,epsilon,minimax_beta_master,worst_type_i,worst_type_i_s,worst_type_ii,worst_type_ii_t,reverse_beta,reverse_order,reverse_D,reverse_s,reverse_t,forward_beta,forward_order,forward_D,forward_s,forward_t,converse_max,converse_winner,minimax_minus_converse,separator_null_violation,separator_alternative_violation,dense_null_violation,dense_alternative_violation
1,0.8673464006744896,0.09477249841803408,0.8673464006744898,0.0024076366639015356,0.09477249841803409,0.009607359798384785,0.004746538823659021,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.09477249841803409,inf,0.3362619481207927,,,0.09477249841803409,forward,-1.3877787807814457e-17,1.1102230246251565e-16,1.3877787807814457e-17,2.220446049250313e-16,1.3877787807814457e-17
2,0.7522897787629923,0.12643593080108048,0.7522897787629925,0.005411745017609493,0.12643593080108056,0.5490085701647803,0.009470548016513541,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.12643593080108045,inf,0.3362619481207927,,,0.12643593080108045,forward,2.7755575615628914e-17,2.220446049250313e-16,8.326672684688674e-17,2.220446049250313e-16,8.326672684688674e-17
3,0.6524958318742895,0.13015910101065808,0.6524958318742896,0.0,0.13015910101065808,0.7508575696538564,0.014172134516330852,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.126721379622188,inf,0.3362619481207927,,,0.126721379622188,forward,0.003437721388470094,1.1102230246251565e-16,0.0,1.1102230246251565e-16,-4.8679393849226926e-11
4,0.565939911231272,0.16454411871262456,0.5659399112312717,0.0,0.16454411873312536,0.37029735751753157,0.018851404753293992,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.1262513573756721,3.6963783888794435,0.23134803515844116,0.0,0.46098928751711277,0.1262513573756721,forward,0.03829276133695245,-2.220446049250313e-16,2.0500795505640212e-11,-2.220446049250313e-16,2.0421081492472126e-11
5,0.49086594500448394,0.17634964499919067,0.49086594500448405,0.0,0.17634964517747267,0.38403399884154166,0.023508464652410993,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.12874506556515755,2.7828071712355693,0.19924722340055925,0.0,0.4817370709533943,0.12874506556515755,forward,0.04760457943403312,1.1102230246251565e-16,1.7828200027381058e-10,5.551115123125783e-17,1.2234147028777898e-10
6,0.4257508106133211,0.1967520252623602,0.4257508106133211,0.0,0.19675202566936392,0.16931889894723717,0.028143419635912728,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.1300243120951826,2.3462050089165656,0.17888347317384165,0.0,0.4950775736783048,0.1300243120951826,forward,0.0667277131671776,0.0,4.070037362691181e-10,0.0,4.04777572571291e-10
7,0.3692734331697104,0.21064107211177593,0.36927343316971023,0.0,0.2106410722818434,0.3840339973451191,0.032756374625639365,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.1301029493498809,2.075940860237505,0.1643132938381182,0.0,0.5048010808181432,0.1301029493498809,forward,0.08053812276189504,-1.6653345369377348e-16,1.7006746011460905e-10,-1.1102230246251565e-16,1.1670769906046985e-10
8,0.32028798312446,0.2253612596020094,0.3202879831244601,0.0,0.22536125994576056,0.7031134909234742,0.03734743404541547,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.1291653015289645,1.8884253134979438,0.15325034229341644,0.0,0.512315116782074,0.1291653015289645,forward,0.0961959580730449,1.1102230246251565e-16,3.4375116642060277e-10,1.1102230246251565e-16,3.3976155222603666e-10
9,0.2778006293422921,0.23954058300295633,0.2778006293422935,0.0,0.23954058300301484,0.594078157390338,0.04191670182341388,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.12739450924744153,1.7494441386070292,0.14452800223015436,0.0,0.5183330101952042,0.12739450924744153,forward,0.1121460737555148,1.3877787807814457e-15,5.850875339774575e-14,1.3322676295501878e-15,2.7755575615628914e-16
10,0.24094937596514507,0.25146402325539263,0.2409493759651453,0.0,0.2514640234275142,0.6658934871410077,0.04646428139450833,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.12494861721284915,1.6418691946150632,0.13746596724124324,0.0,0.5232727646909587,0.12494861721284915,forward,0.12651540604254347,2.220446049250313e-16,1.721215947547705e-10,2.220446049250313e-16,1.7161477794402913e-10
11,0.20898657398813297,0.26469227070394935,0.20898657398813297,0.0,0.2646922710005673,0.6204541069348449,0.050990275702614905,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.12196041163570571,1.5560049340215318,0.13163335469287346,0.0,0.5274017583031161,0.12196041163570571,forward,0.14273185906824365,0.0,2.966179524221957e-10,0.0,2.5499319322719316e-10
12,0.18126375273790002,0.27699800744714587,0.1812637527378987,0.0,0.2769980074471481,0.6564773581589189,0.05549478720302238,1.2240648271334218,0.11632479397293032,0.0,0.6621510950046016,0.11854131518377768,1.4858821059742935,0.12674098035975404,0.0,0.5309016566150263,0.11854131518377768,forward,0.15845669226336817,-1.3322676295501878e-15,2.220446049250313e-15,-1.3322676295501878e-15,-1.2212453270876722e-15
